iter	Passed	Remaining
468	685	775
469	686	773
470	686	771
471	687	769
472	688	766
473	688	764
474	689	762
475	690	760
476	691	758
477	692	755
478	692	753
479	693	751
480	694	749
481	695	747
482	696	745
483	698	744
484	699	742
485	699	740
486	700	738
487	701	735
488	702	733
489	702	731
490	703	729
491	704	727
492	704	725
493	705	722
494	706	720
495	707	718
496	708	716
497	708	714
498	709	712
499	712	712
500	715	712
501	716	710
502	717	709
503	719	707
504	720	706
505	721	704
506	722	702
507	722	700
508	724	698
509	724	696
510	727	696
511	728	694
512	729	692
513	730	690
514	730	688
515	731	686
516	732	684
517	733	682
518	734	680
519	735	679
520	736	677
521	737	675
522	738	673
523	740	672
524	742	671
525	743	669
526	746	669
527	747	668
528	748	666
529	752	667
530	753	665
531	756	665
532	757	663
533	758	662
534	759	660
535	760	658
536	761	656
537	762	654
538	764	654
539	766	652
540	767	650
541	769	650
542	772	649
543	773	648
544	774	646
545	775	644
546	776	643
547	777	641
548	778	639
549	779	637
550	780	635
551	786	638
552	788	637
553	789	635
554	790	633
555	791	632
556	792	630
557	793	628
558	794	626
559	795	624
560	800	626
561	803	625
562	804	624
563	805	622
564	806	620
565	807	619
566	808	617
567	808	615
568	809	613
569	813	613
570	818	615
571	821	614
572	833	621
573	836	620
574	847	626
575	851	626
576	852	625
577	854	623
578	861	626
579	864	625
580	865	624
581	867	623
582	868	621
583	877	625
584	880	624
585	883	623
586	884	622
587	894	626
588	897	625
589	899	624
590	900	623
591	908	626
592	909	624
593	910	622
594	912	620
595	913	619
596	915	617
597	924	621
598	927	620
599	928	618
600	929	617
601	930	615
602	936	616
603	938	615
604	939	613
605	940	611
606	941	609
607	943	608
608	944	606
609	947	605
610	950	605
611	951	603
612	953	601
613	954	600
614	955	598
615	956	596
616	957	594
617	959	592
618	960	591
619	963	590
620	966	589
621	971	590
622	977	591
623	981	591
624	983	590
625	985	588
626	991	589
627	992	587
628	993	586
629	995	584
630	997	583
631	998	581
632	999	579
633	1000	577
634	1001	575
635	1005	575
636	1007	573
637	1008	572
638	1009	570
639	1010	568
640	1011	566
641	1012	564
642	1013	562
643	1015	561
644	1016	559
645	1019	558
646	1021	557
647	1022	555
648	1023	553
649	1024	551
650	1025	549
651	1026	547
652	1027	545
653	1027	543
654	1028	541
655	1029	539
656	1030	538
657	1031	536
658	1034	535
659	1035	533
660	1036	531
661	1037	529
662	1038	527
663	1039	525
664	1040	524
665	1041	522
666	1041	520
667	1042	518
668	1043	516
669	1044	514
670	1045	512
671	1045	510
672	1047	509
673	1048	507
674	1049	505
675	1050	503
676	1051	501
677	1052	499
678	1053	497
679	1054	496
680	1054	494
681	1055	492
682	1056	490
683	1057	488
684	1058	486
685	1059	484
686	1060	482
687	1062	481
688	1063	479
689	1064	478
690	1064	476
691	1065	474
692	1066	472
693	1067	470
694	1068	468
695	1069	467
696	1070	465
697	1070	463
698	1071	461
699	1072	459
700	1073	457
701	1074	456
702	1077	455
703	1077	453
704	1078	451
705	1079	449
706	1080	447
707	1081	446
708	1082	444
709	1083	442
710	1084	440
711	1084	438
712	1085	436
713	1086	435
714	1087	433
715	1088	431
716	1089	430
717	1090	428
718	1091	426
719	1092	424
720	1093	423
721	1094	421
722	1095	419
723	1096	417
724	1096	415
725	1097	414
726	1098	412
727	1098	410
728	1099	408
729	1100	406
730	1101	405
731	1102	403
732	1102	401
733	1104	400
734	1105	398
735	1106	396
736	1107	395
737	1107	393
738	1108	391
739	1109	389
740	1110	388
741	1110	386
742	1111	384
743	1112	382
744	1112	380
745	1113	379
746	1115	377
747	1116	376
748	1117	374
749	1118	372
750	1119	371
751	1120	369
752	1120	367
753	1121	365
754	1122	364
755	1123	362
756	1123	360
757	1124	358
758	1125	357
759	1125	355
760	1126	353
761	1127	352
762	1128	350
763	1129	348
764	1131	347
765	1132	346
766	1134	344
767	1135	343
768	1136	341
769	1137	339
770	1138	338
771	1139	336
772	1139	334
773	1140	333
774	1141	331
775	1141	329
776	1142	327
777	1143	326
778	1144	324
779	1145	323
780	1147	321
781	1148	320
782	1149	318
783	1150	317
784	1151	315
785	1152	313
786	1152	312
787	1153	310
788	1154	308
789	1155	307
790	1156	305
791	1156	303
792	1157	302
793	1158	300
794	1160	299
795	1161	297
796	1162	296
797	1162	294
798	1163	292
799	1164	291
800	1165	289
801	1165	287
802	1166	286
803	1167	284
804	1168	283
805	1169	281
806	1170	279
807	1170	278
808	1171	276
809	1172	275
810	1174	273
811	1175	272
812	1177	270
813	1178	269
814	1179	267
815	1180	266
816	1181	264
817	1182	263
818	1182	261
819	1183	259
820	1184	258
821	1184	256
822	1185	254
823	1186	253
824	1187	251
825	1188	250
826	1190	248
827	1190	247
828	1192	245
829	1193	244
830	1195	243
831	1199	242
832	1202	241
833	1203	239
834	1205	238
835	1206	236
836	1208	235
837	1209	233
838	1211	232
839	1212	230
840	1213	229
841	1215	228
842	1218	226
843	1219	225
844	1220	223
845	1223	222
846	1225	221
847	1226	219
848	1227	218
849	1235	218
850	1237	216
851	1238	215
852	1240	213
853	1241	212
854	1242	210
855	1251	210
856	1252	209
857	1253	207
858	1255	206
859	1256	204
860	1257	202
861	1264	202
862	1266	201
863	1267	199
864	1269	198
865	1271	196
866	1272	195
867	1280	194
868	1282	193
869	1285	192
870	1286	190
871	1288	189
872	1296	188
873	1298	187
874	1299	185
875	1301	184
876	1303	182
877	1305	181
878	1306	179
879	1308	178
880	1311	177
881	1316	176
882	1319	174
883	1322	173
884	1325	172
885	1327	170
886	1333	169
887	1334	168
888	1337	167
889	1339	165
890	1340	164
891	1341	162
892	1342	160
893	1347	159
894	1348	158
895	1350	156
896	1351	155
897	1353	153
898	1354	152
899	1354	150
900	1355	148
901	1356	147
902	1362	146
903	1363	144
904	1365	143
905	1366	141
906	1368	140
907	1369	138
908	1369	137
909	1371	135
910	1372	134
911	1376	132
912	1377	131
913	1378	129
914	1380	128
915	1381	126
916	1383	125
917	1388	123
918	1390	122
919	1391	120
920	1392	119
921	1394	117
922	1395	116
923	1395	114
924	1397	113
925	1398	111
926	1406	110
927	1407	109
928	1408	107
929	1410	106
930	1410	104
931	1411	102
932	1412	101
933	1413	99
934	1416	98
935	1419	97
936	1420	95
937	1421	93
938	1422	92
939	1423	90
940	1424	89
941	1425	87
942	1425	86
943	1426	84
944	1427	83
945	1427	81
946	1433	80
947	1434	78
948	1436	77
949	1437	75
950	1438	74
951	1439	72
952	1440	71
953	1441	69
954	1442	67
955	1445	66
956	1447	65
957	1448	63
958	1449	61
959	1450	60
960	1451	58
961	1451	57
962	1452	55
963	1453	54
964	1453	52
965	1454	51
966	1455	49
967	1456	48
968	1456	46
969	1460	45
970	1461	43
971	1462	42
972	1463	40
973	1464	39
974	1465	37
975	1466	36
976	1466	34
977	1467	33
978	1468	31
979	1469	29
980	1470	28
981	1470	26
982	1473	25
983	1475	23
984	1476	22
985	1476	20
986	1477	19
987	1478	17
988	1479	16
989	1480	14
990	1480	13
991	1481	11
992	1482	10
993	1484	8
994	1485	7
995	1486	5
996	1487	4
997	1488	2
998	1488	1
999	1489	0
